PLAYER,2019/20 ,2019/20(*)
Norman Powell,"$10,116,576 ","$12,050,527 "
Josh Richardson,"$10,116,576 ","$12,050,527 "
Tyus Jones,"$10,116,000 ","$12,049,841 "
Tomas Satoransky,"$10,000,000 ","$11,911,666 "
DeAndre Jordan,"$9,881,598 ","$11,770,630 "
Zion Williamson,"$9,757,440 ","$11,622,737 "
Markelle Fultz,"$9,745,200 ","$11,608,157 "
John Henson,"$9,732,396 ","$11,592,905 "
Matthew Dellavedova,"$9,607,500 ","$11,444,133 "
Dante Exum,"$9,600,000 ","$11,435,199 "
Deandre Ayton,"$9,562,920 ","$11,391,031 "
Delon Wright,"$9,473,684 ","$11,284,736 "
Fred VanVleet,"$9,346,153 ","$11,132,825 "
Jerami Grant,"$9,346,153 ","$11,132,825 "
Al-Farouq Aminu,"$9,258,000 ","$11,027,820 "
Kyle Anderson,"$9,073,050 ","$10,807,514 "
Taj Gibson,"$9,000,000 ","$10,720,499 "
Ja Morant,"$8,730,240 ","$10,399,170 "
Lonzo Ball,"$8,719,320 ","$10,386,163 "
E'Twaun Moore,"$8,664,928 ","$10,321,373 "
Marvin Bagley,"$8,556,120 ","$10,191,764 "
Bogdan Bogdanovic,"$8,529,386 ","$10,159,920 "
PJ Tucker,"$8,349,039 ","$9,945,096 "
Cristiano Felicio,"$8,156,500 ","$9,715,750 "
Kentavious Caldwell-Pope,"$8,139,282 ","$9,695,241 "
Ben Simmons,"$8,113,929 ","$9,665,041 "
Thomas Bryant,"$8,000,000 ","$9,529,333 "
Wayne Ellington,"$8,000,000 ","$9,529,333 "
Elfrid Payton,"$8,000,000 ","$9,529,333 "
Louis Williams,"$8,000,000 ","$9,529,333 "
Maxi Kleber,"$8,000,000 ","$9,529,333 "
RJ Barrett,"$7,839,960 ","$9,338,698 "
Jayson Tatum,"$7,830,000 ","$9,326,834 "
Jae Crowder,"$7,815,533 ","$9,309,602 "
Luka Doncic,"$7,683,360 ","$9,152,162 "
Joe Harris,"$7,666,667 ","$9,132,278 "
Seth Curry,"$7,461,380 ","$8,887,747 "
DeMarre Carroll,"$7,339,258 ","$8,742,279 "
Doug McDermott,"$7,333,333 ","$8,735,221 "
Langston Galloway,"$7,333,333 ","$8,735,221 "
Derrick Rose,"$7,317,074 ","$8,715,854 "
Brandon Ingram,"$7,265,485 ","$8,654,403 "
DJ Augustin,"$7,250,000 ","$8,635,958 "
Darius Miller,"$7,250,000 ","$8,635,958 "
De'Andre Hunter,"$7,068,360 ","$8,419,594 "
Josh Jackson,"$7,059,480 ","$8,409,017 "
Davis Bertans,"$7,000,000 ","$8,338,166 "
Ersan Ilyasova,"$7,000,000 ","$8,338,166 "
Jaren Jackson Jr,"$6,927,480 ","$8,251,783 "
Nemanja Bjelica,"$6,825,000 ","$8,129,712 "
Jaylen Brown,"$6,534,829 ","$7,784,070 "
Jabari Parker,"$6,500,000 ","$7,742,583 "
Ivica Zubac,"$6,481,482 ","$7,720,525 "
Darius Garland,"$6,400,920 ","$7,624,562 "
De'Aaron Fox,"$6,392,760 ","$7,614,842 "
Trae Young,"$6,273,000 ","$7,472,188 "
Ishmael Smith,"$6,000,000 ","$7,146,999 "
Montrezl Harrell,"$6,000,000 ","$7,146,999 "
Marco Belinelli,"$5,846,154 ","$6,963,743 "
Jarrett Culver,"$5,813,640 ","$6,925,014 "
Jonathan Isaac,"$5,806,440 ","$6,916,437 "
Rodney Hood,"$5,718,000 ","$6,811,090 "
Mo Bamba,"$5,697,600 ","$6,786,791 "
Trey Lyles,"$5,500,000 ","$6,551,416 "
Aron Baynes,"$5,453,280 ","$6,495,765 "
Kris Dunn,"$5,348,007 ","$6,370,367 "
Coby White,"$5,307,120 ","$6,321,664 "
Lauri Markkanen,"$5,300,400 ","$6,313,659 "
Wendell Carter,"$5,201,400 ","$6,195,734 "
Luol Deng,"$5,000,000 ","$5,955,833 "
Daniel Theis,"$5,000,000 ","$5,955,833 "
